Number of parties: 4
[*] Sample 447: NULL
[*] Sample 448: NULL
[*] Sample 449: NULL
[*] Sample 450: 3
[*] Sample 451: 6
[*] Sample 452: NULL
[*] Sample 453: NULL
[*] Sample 454: NULL
[*] Sample 455: 7
[*] Sample 456: NULL
[*] Sample 457: 1
[*] Sample 458: 6
[*] Sample 459: NULL
[*] Sample 460: NULL
[*] Sample 461: NULL
[*] Sample 462: NULL
[*] Sample 463: 0
[*] Sample 464: 7
[*] Sample 465: NULL
[*] Sample 466: 3
[*] Sample 467: NULL
[*] Sample 468: NULL
[*] Sample 469: NULL
[*] Sample 470: NULL
[*] Sample 471: NULL
[*] Sample 472: 2
[*] Sample 473: NULL
[*] Sample 474: 6
[*] Sample 475: 2
[*] Sample 476: 1
[*] Sample 477: NULL
[*] Sample 478: NULL
[*] Sample 479: 2
[*] Sample 480: NULL
[*] Sample 481: 7
[*] Sample 482: NULL
[*] Sample 483: NULL
[*] Sample 484: 1
[*] Sample 485: NULL
[*] Sample 486: 3
[*] Sample 487: NULL
[*] Sample 488: NULL
[*] Sample 489: 3
[*] Sample 490: NULL
[*] Sample 491: 3
[*] Sample 492: NULL
[*] Sample 493: NULL
[*] Sample 494: 2
[*] Sample 495: 6
[*] Sample 496: NULL
[*] Sample 497: NULL
[*] Sample 498: NULL
[*] Sample 499: NULL
[*] Sample 500: 9
[*] Sample 501: NULL
[*] Sample 502: NULL
[*] Sample 503: NULL
[*] Sample 504: 0
[*] Sample 505: 7
[*] Sample 506: 5
[*] Sample 507: NULL
[*] Sample 508: 9
[*] Sample 509: NULL
[*] Sample 510: NULL
[*] Sample 511: 3
[*] Sample 512: NULL
[*] Sample 513: NULL
[*] Sample 514: NULL
[*] Sample 515: 8
[*] Sample 516: 4
[*] Sample 517: 5
[*] Sample 518: NULL
[*] Sample 519: NULL
[*] Sample 520: 0
[*] Sample 521: 6
[*] Sample 522: 1
[*] Sample 523: NULL
[*] Sample 524: NULL
[*] Sample 525: 0
[*] Sample 526: NULL
[*] Sample 527: NULL
[*] Sample 528: 3
[*] Sample 529: NULL
[*] Sample 530: NULL
[*] Sample 531: NULL
[*] Sample 532: NULL
[*] Sample 533: 4
[*] Sample 534: NULL
[*] Sample 535: 1
[*] Sample 536: 2
[*] Sample 537: NULL
[*] Sample 538: NULL
[*] Sample 539: NULL
[*] Sample 540: 6
[*] Sample 541: NULL
[*] Sample 542: NULL
[*] Sample 543: NULL
[*] Sample 544: NULL
[*] Sample 545: 0
[*] Sample 546: 2
[*] Sample 547: 3
[*] Sample 548: 6
[*] Sample 549: NULL
[*] Sample 550: NULL
[*] Sample 551: 1
[*] Sample 552: NULL
[*] Sample 553: NULL
[*] Sample 554: 0
[*] Sample 555: NULL
[*] Sample 556: 6
[*] Sample 557: NULL
[*] Sample 558: 1
[*] Sample 559: 1
[*] Sample 560: 8
[*] Sample 561: 9
[*] Sample 562: NULL
[*] Sample 563: 7
[*] Sample 564: 5
[*] Sample 565: NULL
[*] Sample 566: 5
[*] Sample 567: NULL
[*] Sample 568: NULL
[*] Sample 569: 9
[*] Sample 570: NULL
[*] Sample 571: NULL
[*] Sample 572: NULL
[*] Sample 573: NULL
[*] Sample 574: NULL
[*] Sample 575: NULL
[*] Sample 576: 2
[*] Sample 577: NULL
[*] Sample 578: 3
[*] Sample 579: NULL
[*] Sample 580: NULL
[*] Sample 581: 6
[*] Sample 582: 2
[*] Sample 583: NULL
[*] Sample 584: NULL
[*] Sample 585: 6
[*] Sample 586: NULL
[*] Sample 587: 1
[*] Sample 588: NULL
[*] Sample 589: NULL
[*] Sample 590: 3
[*] Sample 591: 1
[*] Sample 592: 3
[*] Sample 593: 1
[*] Sample 594: 9
[*] Sample 595: NULL
[*] Sample 596: NULL
[*] Sample 597: NULL
[*] Sample 598: NULL
[*] Sample 599: 0
[*] Sample 600: NULL
[*] Sample 601: NULL
[*] Sample 602: 6
[*] Sample 603: NULL
[*] Sample 604: NULL
[*] Sample 605: 1
[*] Sample 606: 2
[*] Sample 607: 0
[*] Sample 608: NULL
[*] Sample 609: NULL
[*] Sample 610: 4
[*] Sample 611: NULL
[*] Sample 612: NULL
[*] Sample 613: NULL
[*] Sample 614: 4
[*] Sample 615: NULL
[*] Sample 616: NULL
[*] Sample 617: NULL
[*] Sample 618: NULL
[*] Sample 619: 7
[*] Sample 620: 7
[*] Sample 621: NULL
[*] Sample 622: NULL
[*] Sample 623: NULL
[*] Sample 624: NULL
[*] Sample 625: NULL
[*] Sample 626: 5
[*] Sample 627: NULL
[*] Sample 628: NULL
[*] Sample 629: NULL
[*] Sample 630: NULL
[*] Sample 631: NULL
[*] Sample 632: 1
[*] Sample 633: 7
[*] Sample 634: 1
[*] Sample 635: NULL
[*] Sample 636: 7
[*] Sample 637: 1
[*] Sample 638: 5
[*] Sample 639: NULL
[*] Sample 640: NULL
[*] Sample 641: 5
[*] Sample 642: 4
[*] Sample 643: NULL
[*] Sample 644: NULL
[*] Sample 645: NULL
[*] Sample 646: 6
[*] Sample 647: NULL
[*] Sample 648: 6
[*] Sample 649: NULL
[*] Sample 650: NULL
[*] Sample 651: 2
[*] Sample 652: 8
[*] Sample 653: NULL
[*] Sample 654: NULL
[*] Sample 655: 1
[*] Sample 656: 6
[*] Sample 657: 4
[*] Sample 658: NULL
[*] Sample 659: NULL
[*] Sample 660: NULL
[*] Sample 661: 5
[*] Sample 662: NULL
[*] Sample 663: NULL
[*] Sample 664: 4
[*] Sample 665: NULL
[*] Sample 666: 7
[*] Sample 667: NULL
[*] Sample 668: 9
[*] Sample 669: 2
[*] Sample 670: NULL
[*] Sample 671: NULL
[*] Sample 672: NULL
[*] Sample 673: 3
[*] Sample 674: 8
[*] Sample 675: NULL
[*] Sample 676: NULL
[*] Sample 677: 7
[*] Sample 678: NULL
[*] Sample 679: NULL
[*] Sample 680: 7
[*] Sample 681: NULL
[*] Sample 682: 4
[*] Sample 683: NULL
[*] Sample 684: NULL
[*] Sample 685: 7
[*] Sample 686: 6
[*] Sample 687: 2
[*] Sample 688: NULL
[*] Sample 689: NULL
[*] Sample 690: NULL
[*] Sample 691: NULL
[*] Sample 692: NULL
[*] Sample 693: NULL
[*] Sample 694: NULL
[*] Sample 695: NULL
[*] Sample 696: 1
[*] Sample 697: 1
[*] Sample 698: NULL
[*] Sample 699: NULL
[*] Sample 700: NULL
[*] Sample 701: NULL
[*] Sample 702: NULL
[*] Sample 703: NULL
[*] Sample 704: NULL
[*] Sample 705: 2
[*] Sample 706: 6
[*] Sample 707: 8
[*] Sample 708: NULL
[*] Sample 709: NULL
[*] Sample 710: NULL
[*] Sample 711: NULL
[*] Sample 712: NULL
[*] Sample 713: NULL
[*] Sample 714: NULL
[*] Sample 715: NULL
[*] Sample 716: NULL
[*] Sample 717: NULL
[*] Sample 718: NULL
[*] Sample 719: NULL
[*] Sample 720: NULL
[*] Sample 721: 2
[*] Sample 722: 0
[*] Sample 723: NULL
[*] Sample 724: NULL
[*] Sample 725: 2
[*] Sample 726: 0
[*] Sample 727: NULL
[*] Sample 728: 2
[*] Sample 729: 1
[*] Sample 730: NULL
[*] Sample 731: NULL
[*] Sample 732: 4
[*] Sample 733: 7
[*] Sample 734: NULL
[*] Sample 735: 2
[*] Sample 736: NULL
[*] Sample 737: NULL
[*] Sample 738: 4
[*] Sample 739: 1
[*] Sample 740: 3
[*] Sample 741: 1
[*] Sample 742: NULL
[*] Sample 743: NULL
[*] Sample 744: NULL
[*] Sample 745: NULL
[*] Sample 746: 7
[*] Sample 747: NULL
[*] Sample 748: NULL
[*] Sample 749: NULL
[*] Sample 750: NULL
[*] Sample 751: 3
[*] Sample 752: 3
[*] Sample 753: 6
[*] Sample 754: NULL
[*] Sample 755: 4
[*] Sample 756: 0
[*] Sample 757: 0
[*] Sample 758: NULL
[*] Sample 759: NULL
[*] Sample 760: 7
[*] Sample 761: NULL
[*] Sample 762: 2
[*] Sample 763: NULL
[*] Sample 764: 1
[*] Sample 765: NULL
[*] Sample 766: NULL
[*] Sample 767: NULL
[*] Sample 768: NULL
[*] Sample 769: 3
[*] Sample 770: 4
[*] Sample 771: NULL
[*] Sample 772: 9
[*] Sample 773: NULL
[*] Sample 774: NULL
[*] Sample 775: NULL
[*] Sample 776: 9
[*] Sample 777: 5
[*] Sample 778: NULL
[*] Sample 779: NULL
[*] Sample 780: 1
[*] Sample 781: 9
[*] Sample 782: 4
[*] Sample 783: NULL
[*] Sample 784: 1
[*] Sample 785: NULL
[*] Sample 786: NULL
[*] Sample 787: 1
[*] Sample 788: 8
[*] Sample 789: NULL
[*] Sample 790: 6
[*] Sample 791: NULL
[*] Sample 792: NULL
[*] Sample 793: 5
[*] Sample 794: 5
[*] Sample 795: NULL
[*] Sample 796: NULL
[*] Sample 797: NULL
[*] Sample 798: NULL
[*] Sample 799: NULL
[*] Sample 800: NULL
[*] Sample 801: 6
[*] Sample 802: NULL
[*] Sample 803: 2
[*] Sample 804: NULL
[*] Sample 805: NULL
[*] Sample 806: NULL
[*] Sample 807: NULL
[*] Sample 808: 1
[*] Sample 809: NULL
[*] Sample 810: NULL
[*] Sample 811: NULL
[*] Sample 812: 2
[*] Sample 813: 9
[*] Sample 814: NULL
[*] Sample 815: NULL
[*] Sample 816: 1
[*] Sample 817: 7
[*] Sample 818: NULL
[*] Sample 819: 1
[*] Sample 820: NULL
[*] Sample 821: NULL
[*] Sample 822: NULL
[*] Sample 823: 6
[*] Sample 824: NULL
[*] Sample 825: 1
[*] Sample 826: NULL
[*] Sample 827: NULL
[*] Sample 828: 6
[*] Sample 829: NULL
[*] Sample 830: NULL
[*] Sample 831: NULL
[*] Sample 832: NULL
[*] Sample 833: NULL
[*] Sample 834: 1
[*] Sample 835: NULL
[*] Sample 836: 2
[*] Sample 837: NULL
[*] Sample 838: NULL
[*] Sample 839: NULL
[*] Sample 840: 7
[*] Sample 841: NULL
[*] Sample 842: NULL
[*] Sample 843: NULL
[*] Sample 844: 2
[*] Sample 845: 5
[*] Sample 846: NULL
[*] Sample 847: 3
[*] Sample 848: NULL
[*] Sample 849: NULL
[*] Sample 850: 2
[*] Sample 851: NULL
[*] Sample 852: 0
[*] Sample 853: 0
[*] Sample 854: 1
[*] Sample 855: 6
[*] Sample 856: NULL
[*] Sample 857: NULL
[*] Sample 858: NULL
[*] Sample 859: 5
[*] Sample 860: 6
[*] Sample 861: NULL
[*] Sample 862: NULL
[*] Sample 863: NULL
[*] Sample 864: NULL
[*] Sample 865: NULL
[*] Sample 866: NULL
[*] Sample 867: NULL
[*] Sample 868: 5
[*] Sample 869: 3
[*] Sample 870: 3
[*] Sample 871: NULL
[*] Sample 872: NULL
[*] Sample 873: 2
[*] Sample 874: NULL
[*] Sample 875: NULL
[*] Sample 876: 1
[*] Sample 877: 1
[*] Sample 878: NULL
[*] Sample 879: NULL
[*] Sample 880: NULL
[*] Sample 881: 1
[*] Sample 882: 6
[*] Sample 883: 4
[*] Sample 884: NULL
[*] Sample 885: NULL
[*] Sample 886: NULL
[*] Sample 887: 2
[*] Sample 888: 5
[*] Sample 889: NULL
[*] Sample 890: 6
[*] Sample 891: 2
[*] Sample 892: NULL
[*] Sample 893: NULL
[*] Sample 894: 5
[*] Sample 895: 5
[*] Sample 896: 2
[*] Sample 897: NULL
[*] Sample 898: 0
[*] Sample 899: 9
[*] Sample 900: 1
[*] Sample 901: 1
[*] Sample 902: 2
[*] Sample 903: NULL
[*] Sample 904: NULL
[*] Sample 905: NULL
[*] Sample 906: NULL
[*] Sample 907: NULL
[*] Sample 908: NULL
[*] Sample 909: 5
[*] Sample 910: 1
[*] Sample 911: 7
[*] Sample 912: NULL
[*] Sample 913: NULL
[*] Sample 914: NULL
[*] Sample 915: NULL
[*] Sample 916: 9
[*] Sample 917: NULL
[*] Sample 918: NULL
[*] Sample 919: 7
[*] Sample 920: 9
[*] Sample 921: 8
[*] Sample 922: 4
[*] Sample 923: NULL
[*] Sample 924: 9
[*] Sample 925: NULL
[*] Sample 926: NULL
[*] Sample 927: NULL
[*] Sample 928: 0
[*] Sample 929: 8
[*] Sample 930: 2
[*] Sample 931: NULL
[*] Sample 932: NULL
[*] Sample 933: 3
[*] Sample 934: NULL
[*] Sample 935: NULL
[*] Sample 936: NULL
[*] Sample 937: 4
[*] Sample 938: 6
[*] Sample 939: NULL
[*] Sample 940: NULL
[*] Sample 941: NULL
[*] Sample 942: NULL
[*] Sample 943: NULL
[*] Sample 944: 6
[*] Sample 945: 2
[*] Sample 946: NULL
[*] Sample 947: NULL
[*] Sample 948: NULL
[*] Sample 949: NULL
[*] Sample 950: 8
[*] Sample 951: NULL
[*] Sample 952: NULL
[*] Sample 953: NULL
[*] Sample 954: NULL
[*] Sample 955: NULL
[*] Sample 956: NULL
[*] Sample 957: NULL
[*] Sample 958: NULL
[*] Sample 959: 7
[*] Sample 960: 0
[*] Sample 961: NULL
[*] Sample 962: NULL
[*] Sample 963: NULL
[*] Sample 964: 5
[*] Sample 965: 2
[*] Sample 966: 1
[*] Sample 967: 9
[*] Sample 968: 3
[*] Sample 969: NULL
[*] Sample 970: NULL
[*] Sample 971: 1
[*] Sample 972: NULL
[*] Sample 973: 1
[*] Sample 974: NULL
[*] Sample 975: 0
[*] Sample 976: NULL
[*] Sample 977: NULL
[*] Sample 978: NULL
[*] Sample 979: 7
[*] Sample 980: NULL
[*] Sample 981: NULL
[*] Sample 982: 5
[*] Sample 983: 9
[*] Sample 984: NULL
[*] Sample 985: 8
[*] Sample 986: 1
[*] Sample 987: NULL
[*] Sample 988: NULL
[*] Sample 989: NULL
[*] Sample 990: NULL
[*] Sample 991: 2
[*] Sample 992: NULL
[*] Sample 993: NULL
[*] Sample 994: NULL
[*] Sample 995: NULL
[*] Sample 996: 1
[*] Sample 997: 5
[*] Sample 998: NULL
[*] Sample 999: NULL
[*] Sample 1000: NULL
[*] Sample 1001: 1
[*] Sample 1002: NULL
[*] Sample 1003: 1
[*] Sample 1004: 8
[*] Sample 1005: 5
[*] Sample 1006: NULL
[*] Sample 1007: NULL
[*] Sample 1008: 4
[*] Sample 1009: NULL
[*] Sample 1010: NULL
[*] Sample 1011: NULL
[*] Sample 1012: NULL
[*] Sample 1013: NULL
[*] Sample 1014: 4
[*] Sample 1015: NULL
[*] Sample 1016: NULL
[*] Sample 1017: NULL
[*] Sample 1018: NULL
[*] Sample 1019: 6
[*] Sample 1020: NULL
[*] Sample 1021: 9
[*] Sample 1022: NULL
[*] Sample 1023: 4
[*] Sample 1024: NULL
[*] Sample 1025: NULL
[*] Sample 1026: 9
[*] Sample 1027: 0
[*] Sample 1028: NULL
[*] Sample 1029: NULL
[*] Sample 1030: NULL
[*] Sample 1031: NULL
[*] Sample 1032: NULL
[*] Sample 1033: NULL
[*] Sample 1034: NULL
[*] Sample 1035: NULL
[*] Sample 1036: 1
[*] Sample 1037: NULL
[*] Sample 1038: NULL
[*] Sample 1039: NULL
[*] Sample 1040: 1
[*] Sample 1041: 2
[*] Sample 1042: 5
[*] Sample 1043: NULL
[*] Sample 1044: NULL
[*] Sample 1045: NULL
[*] Sample 1046: 4
[*] Sample 1047: 5
[*] Sample 1048: 8
[*] Sample 1049: NULL
[*] Sample 1050: NULL
[*] Sample 1051: 5
[*] Sample 1052: 5
[*] Sample 1053: NULL
[*] Sample 1054: NULL
[*] Sample 1055: NULL
[*] Sample 1056: NULL
[*] Sample 1057: NULL
[*] Sample 1058: 3
[*] Sample 1059: NULL
[*] Sample 1060: NULL
[*] Sample 1061: 7
[*] Sample 1062: NULL
[*] Sample 1063: NULL
[*] Sample 1064: NULL
[*] Sample 1065: NULL
[*] Sample 1066: NULL
[*] Sample 1067: 5
[*] Sample 1068: 3
[*] Sample 1069: NULL
[*] Sample 1070: NULL
[*] Sample 1071: 3
[*] Sample 1072: NULL
[*] Sample 1073: 7
[*] Sample 1074: NULL
[*] Sample 1075: NULL
[*] Sample 1076: 5
[*] Sample 1077: NULL
[*] Sample 1078: 1
[*] Sample 1079: NULL
[*] Sample 1080: 0
[*] Sample 1081: NULL
[*] Sample 1082: NULL
[*] Sample 1083: NULL
[*] Sample 1084: 9
[*] Sample 1085: 1
[*] Sample 1086: NULL
[*] Sample 1087: NULL
[*] Sample 1088: NULL
[*] Sample 1089: NULL
[*] Sample 1090: 0
[*] Sample 1091: NULL
[*] Sample 1092: NULL
[*] Sample 1093: NULL
[*] Sample 1094: NULL
[*] Sample 1095: NULL
[*] Sample 1096: NULL
