Number of parties: 4
[*] Sample 449: NULL
[*] Sample 450: 3
[*] Sample 451: 3
[*] Sample 452: 2
[*] Sample 453: NULL
[*] Sample 454: 9
[*] Sample 455: NULL
[*] Sample 456: 2
[*] Sample 457: 6
[*] Sample 458: 8
[*] Sample 459: 2
[*] Sample 460: NULL
[*] Sample 461: NULL
[*] Sample 462: NULL
[*] Sample 463: NULL
[*] Sample 464: 3
[*] Sample 465: NULL
[*] Sample 466: NULL
[*] Sample 467: 2
[*] Sample 468: 8
[*] Sample 469: 5
[*] Sample 470: NULL
[*] Sample 471: 7
[*] Sample 472: NULL
[*] Sample 473: NULL
[*] Sample 474: 8
[*] Sample 475: 4
[*] Sample 476: NULL
[*] Sample 477: 2
[*] Sample 478: NULL
[*] Sample 479: 8
[*] Sample 480: 7
[*] Sample 481: 8
[*] Sample 482: NULL
[*] Sample 483: NULL
[*] Sample 484: 9
[*] Sample 485: 0
[*] Sample 486: NULL
[*] Sample 487: NULL
[*] Sample 488: 2
[*] Sample 489: 1
[*] Sample 490: NULL
[*] Sample 491: 5
[*] Sample 492: NULL
[*] Sample 493: NULL
[*] Sample 494: 7
[*] Sample 495: NULL
[*] Sample 496: NULL
[*] Sample 497: 9
[*] Sample 498: NULL
[*] Sample 499: 6
[*] Sample 500: 3
[*] Sample 501: 9
[*] Sample 502: NULL
[*] Sample 503: 2
[*] Sample 504: 1
[*] Sample 505: NULL
[*] Sample 506: 1
[*] Sample 507: NULL
[*] Sample 508: NULL
[*] Sample 509: NULL
[*] Sample 510: NULL
[*] Sample 511: 8
[*] Sample 512: NULL
[*] Sample 513: NULL
[*] Sample 514: NULL
[*] Sample 515: 3
[*] Sample 516: NULL
[*] Sample 517: 6
[*] Sample 518: 8
[*] Sample 519: 4
[*] Sample 520: NULL
[*] Sample 521: NULL
[*] Sample 522: 7
[*] Sample 523: NULL
[*] Sample 524: 3
[*] Sample 525: 9
[*] Sample 526: 3
[*] Sample 527: NULL
[*] Sample 528: NULL
[*] Sample 529: NULL
[*] Sample 530: NULL
[*] Sample 531: NULL
[*] Sample 532: NULL
[*] Sample 533: 4
[*] Sample 534: NULL
[*] Sample 535: 4
[*] Sample 536: 2
[*] Sample 537: 1
[*] Sample 538: NULL
[*] Sample 539: NULL
[*] Sample 540: NULL
[*] Sample 541: 4
[*] Sample 542: 8
[*] Sample 543: NULL
[*] Sample 544: 4
[*] Sample 545: NULL
[*] Sample 546: NULL
[*] Sample 547: NULL
[*] Sample 548: 3
[*] Sample 549: 2
[*] Sample 550: NULL
[*] Sample 551: NULL
[*] Sample 552: NULL
[*] Sample 553: 8
[*] Sample 554: NULL
[*] Sample 555: NULL
[*] Sample 556: NULL
[*] Sample 557: NULL
[*] Sample 558: 9
[*] Sample 559: NULL
[*] Sample 560: NULL
[*] Sample 561: NULL
[*] Sample 562: 9
[*] Sample 563: NULL
[*] Sample 564: 6
[*] Sample 565: 7
[*] Sample 566: NULL
[*] Sample 567: 0
[*] Sample 568: 6
[*] Sample 569: NULL
[*] Sample 570: 5
[*] Sample 571: 9
[*] Sample 572: 4
[*] Sample 573: NULL
[*] Sample 574: NULL
[*] Sample 575: 9
[*] Sample 576: NULL
[*] Sample 577: 7
[*] Sample 578: NULL
[*] Sample 579: NULL
[*] Sample 580: NULL
[*] Sample 581: NULL
[*] Sample 582: NULL
[*] Sample 583: 2
[*] Sample 584: 1
[*] Sample 585: 7
[*] Sample 586: NULL
[*] Sample 587: NULL
[*] Sample 588: 2
[*] Sample 589: NULL
[*] Sample 590: NULL
[*] Sample 591: NULL
[*] Sample 592: 0
[*] Sample 593: 9
[*] Sample 594: 6
[*] Sample 595: 3
[*] Sample 596: 8
[*] Sample 597: NULL
[*] Sample 598: NULL
[*] Sample 599: NULL
[*] Sample 600: NULL
[*] Sample 601: NULL
[*] Sample 602: NULL
[*] Sample 603: NULL
[*] Sample 604: 5
[*] Sample 605: 7
[*] Sample 606: NULL
[*] Sample 607: NULL
[*] Sample 608: NULL
[*] Sample 609: NULL
[*] Sample 610: 6
[*] Sample 611: 0
[*] Sample 612: NULL
[*] Sample 613: NULL
[*] Sample 614: NULL
[*] Sample 615: 1
[*] Sample 616: NULL
[*] Sample 617: NULL
[*] Sample 618: 5
[*] Sample 619: 3
[*] Sample 620: 0
[*] Sample 621: NULL
[*] Sample 622: 4
[*] Sample 623: 6
[*] Sample 624: NULL
[*] Sample 625: 6
[*] Sample 626: NULL
[*] Sample 627: 9
[*] Sample 628: NULL
[*] Sample 629: NULL
[*] Sample 630: NULL
[*] Sample 631: 8
[*] Sample 632: 2
[*] Sample 633: NULL
[*] Sample 634: 2
[*] Sample 635: 4
[*] Sample 636: NULL
[*] Sample 637: NULL
[*] Sample 638: 5
[*] Sample 639: 9
[*] Sample 640: NULL
[*] Sample 641: NULL
[*] Sample 642: 0
[*] Sample 643: NULL
[*] Sample 644: 0
[*] Sample 645: NULL
[*] Sample 646: 9
[*] Sample 647: 1
[*] Sample 648: NULL
[*] Sample 649: 0
[*] Sample 650: NULL
[*] Sample 651: 7
[*] Sample 652: 1
[*] Sample 653: 2
[*] Sample 654: NULL
[*] Sample 655: NULL
[*] Sample 656: NULL
[*] Sample 657: 3
[*] Sample 658: NULL
[*] Sample 659: NULL
[*] Sample 660: 4
[*] Sample 661: NULL
[*] Sample 662: NULL
[*] Sample 663: 1
[*] Sample 664: 8
[*] Sample 665: 6
[*] Sample 666: 7
[*] Sample 667: NULL
[*] Sample 668: 8
[*] Sample 669: NULL
[*] Sample 670: NULL
[*] Sample 671: NULL
[*] Sample 672: NULL
[*] Sample 673: 5
[*] Sample 674: NULL
[*] Sample 675: 5
[*] Sample 676: 7
[*] Sample 677: NULL
[*] Sample 678: NULL
[*] Sample 679: NULL
[*] Sample 680: 6
[*] Sample 681: 7
[*] Sample 682: NULL
[*] Sample 683: 3
[*] Sample 684: 3
[*] Sample 685: NULL
[*] Sample 686: 3
[*] Sample 687: NULL
[*] Sample 688: NULL
[*] Sample 689: 9
[*] Sample 690: 2
[*] Sample 691: 5
[*] Sample 692: 5
[*] Sample 693: NULL
[*] Sample 694: NULL
[*] Sample 695: NULL
[*] Sample 696: NULL
[*] Sample 697: 4
[*] Sample 698: NULL
[*] Sample 699: NULL
[*] Sample 700: 1
[*] Sample 701: 0
[*] Sample 702: 5
[*] Sample 703: 4
[*] Sample 704: 0
[*] Sample 705: NULL
[*] Sample 706: NULL
[*] Sample 707: 4
[*] Sample 708: NULL
[*] Sample 709: NULL
[*] Sample 710: NULL
[*] Sample 711: 5
[*] Sample 712: 4
[*] Sample 713: NULL
[*] Sample 714: 3
[*] Sample 715: NULL
[*] Sample 716: NULL
[*] Sample 717: 3
[*] Sample 718: 2
[*] Sample 719: NULL
[*] Sample 720: NULL
[*] Sample 721: NULL
[*] Sample 722: 4
[*] Sample 723: 6
[*] Sample 724: NULL
[*] Sample 725: NULL
[*] Sample 726: 7
[*] Sample 727: 3
[*] Sample 728: 8
[*] Sample 729: 6
[*] Sample 730: NULL
[*] Sample 731: 2
[*] Sample 732: 5
[*] Sample 733: 9
[*] Sample 734: 3
[*] Sample 735: 1
[*] Sample 736: 5
[*] Sample 737: 6
[*] Sample 738: NULL
[*] Sample 739: NULL
[*] Sample 740: NULL
[*] Sample 741: 3
[*] Sample 742: 0
[*] Sample 743: NULL
[*] Sample 744: NULL
[*] Sample 745: NULL
[*] Sample 746: 7
[*] Sample 747: NULL
[*] Sample 748: NULL
[*] Sample 749: NULL
[*] Sample 750: NULL
[*] Sample 751: 5
[*] Sample 752: 4
[*] Sample 753: NULL
[*] Sample 754: 1
[*] Sample 755: 1
[*] Sample 756: 7
[*] Sample 757: NULL
[*] Sample 758: 9
[*] Sample 759: 9
[*] Sample 760: NULL
[*] Sample 761: NULL
[*] Sample 762: 4
[*] Sample 763: 0
[*] Sample 764: 2
[*] Sample 765: NULL
[*] Sample 766: 8
[*] Sample 767: NULL
[*] Sample 768: NULL
[*] Sample 769: NULL
[*] Sample 770: NULL
[*] Sample 771: NULL
[*] Sample 772: 1
[*] Sample 773: NULL
[*] Sample 774: 5
[*] Sample 775: 8
[*] Sample 776: NULL
[*] Sample 777: NULL
[*] Sample 778: 5
[*] Sample 779: NULL
[*] Sample 780: NULL
[*] Sample 781: NULL
[*] Sample 782: NULL
[*] Sample 783: NULL
[*] Sample 784: NULL
[*] Sample 785: NULL
[*] Sample 786: 6
[*] Sample 787: NULL
[*] Sample 788: NULL
[*] Sample 789: 4
[*] Sample 790: 1
[*] Sample 791: NULL
[*] Sample 792: NULL
[*] Sample 793: NULL
[*] Sample 794: 0
[*] Sample 795: NULL
[*] Sample 796: NULL
[*] Sample 797: 5
[*] Sample 798: NULL
[*] Sample 799: NULL
[*] Sample 800: NULL
[*] Sample 801: 3
[*] Sample 802: NULL
[*] Sample 803: NULL
[*] Sample 804: NULL
[*] Sample 805: 8
[*] Sample 806: NULL
[*] Sample 807: NULL
[*] Sample 808: NULL
[*] Sample 809: 1
[*] Sample 810: NULL
[*] Sample 811: NULL
[*] Sample 812: NULL
[*] Sample 813: 9
[*] Sample 814: NULL
[*] Sample 815: NULL
[*] Sample 816: NULL
[*] Sample 817: NULL
[*] Sample 818: NULL
[*] Sample 819: NULL
[*] Sample 820: NULL
[*] Sample 821: NULL
[*] Sample 822: 3
[*] Sample 823: 2
[*] Sample 824: NULL
[*] Sample 825: 7
[*] Sample 826: NULL
[*] Sample 827: NULL
[*] Sample 828: 2
[*] Sample 829: 6
[*] Sample 830: NULL
[*] Sample 831: NULL
[*] Sample 832: NULL
[*] Sample 833: 9
[*] Sample 834: NULL
[*] Sample 835: 1
[*] Sample 836: NULL
[*] Sample 837: 2
[*] Sample 838: NULL
[*] Sample 839: NULL
[*] Sample 840: 1
[*] Sample 841: 0
[*] Sample 842: 7
[*] Sample 843: 4
[*] Sample 844: NULL
[*] Sample 845: 0
[*] Sample 846: NULL
[*] Sample 847: NULL
[*] Sample 848: 1
[*] Sample 849: 2
[*] Sample 850: 1
[*] Sample 851: NULL
[*] Sample 852: 7
[*] Sample 853: 5
[*] Sample 854: NULL
[*] Sample 855: NULL
[*] Sample 856: 5
[*] Sample 857: 5
[*] Sample 858: NULL
[*] Sample 859: 7
[*] Sample 860: NULL
[*] Sample 861: 6
[*] Sample 862: NULL
[*] Sample 863: NULL
[*] Sample 864: 4
[*] Sample 865: 3
[*] Sample 866: 8
[*] Sample 867: 2
[*] Sample 868: 2
[*] Sample 869: NULL
[*] Sample 870: NULL
[*] Sample 871: 0
[*] Sample 872: NULL
[*] Sample 873: 2
[*] Sample 874: 3
[*] Sample 875: NULL
[*] Sample 876: NULL
[*] Sample 877: 2
[*] Sample 878: 8
[*] Sample 879: NULL
[*] Sample 880: NULL
[*] Sample 881: NULL
[*] Sample 882: 1
[*] Sample 883: 3
[*] Sample 884: 0
[*] Sample 885: 6
[*] Sample 886: 6
[*] Sample 887: 9
[*] Sample 888: 2
[*] Sample 889: 1
[*] Sample 890: 5
[*] Sample 891: NULL
[*] Sample 892: NULL
[*] Sample 893: NULL
[*] Sample 894: NULL
[*] Sample 895: NULL
[*] Sample 896: 2
[*] Sample 897: NULL
[*] Sample 898: NULL
[*] Sample 899: 8
[*] Sample 900: 1
[*] Sample 901: 4
[*] Sample 902: 4
[*] Sample 903: 6
[*] Sample 904: 0
[*] Sample 905: NULL
[*] Sample 906: 9
[*] Sample 907: 1
[*] Sample 908: NULL
[*] Sample 909: NULL
[*] Sample 910: 4
[*] Sample 911: 7
[*] Sample 912: 3
[*] Sample 913: 9
[*] Sample 914: 8
[*] Sample 915: 8
[*] Sample 916: 4
[*] Sample 917: 7
[*] Sample 918: 1
[*] Sample 919: 2
[*] Sample 920: NULL
[*] Sample 921: 2
[*] Sample 922: 2
[*] Sample 923: 3
[*] Sample 924: NULL
[*] Sample 925: NULL
[*] Sample 926: 8
[*] Sample 927: 6
[*] Sample 928: NULL
[*] Sample 929: NULL
[*] Sample 930: NULL
[*] Sample 931: NULL
[*] Sample 932: 0
[*] Sample 933: 3
[*] Sample 934: 3
[*] Sample 935: NULL
[*] Sample 936: 8
[*] Sample 937: NULL
[*] Sample 938: NULL
[*] Sample 939: NULL
[*] Sample 940: NULL
[*] Sample 941: 7
[*] Sample 942: NULL
[*] Sample 943: NULL
[*] Sample 944: NULL
[*] Sample 945: 2
[*] Sample 946: NULL
[*] Sample 947: NULL
[*] Sample 948: 1
[*] Sample 949: NULL
[*] Sample 950: NULL
[*] Sample 951: NULL
[*] Sample 952: 6
[*] Sample 953: NULL
[*] Sample 954: NULL
[*] Sample 955: NULL
[*] Sample 956: NULL
[*] Sample 957: NULL
[*] Sample 958: NULL
[*] Sample 959: NULL
[*] Sample 960: 9
[*] Sample 961: 5
[*] Sample 962: NULL
[*] Sample 963: NULL
[*] Sample 964: NULL
[*] Sample 965: 0
[*] Sample 966: NULL
[*] Sample 967: 1
[*] Sample 968: NULL
[*] Sample 969: NULL
[*] Sample 970: NULL
[*] Sample 971: 4
[*] Sample 972: 0
[*] Sample 973: NULL
[*] Sample 974: NULL
[*] Sample 975: NULL
[*] Sample 976: NULL
[*] Sample 977: NULL
[*] Sample 978: 5
[*] Sample 979: NULL
[*] Sample 980: NULL
[*] Sample 981: 0
[*] Sample 982: NULL
[*] Sample 983: 8
[*] Sample 984: 1
[*] Sample 985: 2
[*] Sample 986: NULL
[*] Sample 987: NULL
[*] Sample 988: NULL
[*] Sample 989: 2
[*] Sample 990: 2
[*] Sample 991: NULL
[*] Sample 992: NULL
[*] Sample 993: NULL
[*] Sample 994: NULL
[*] Sample 995: 7
[*] Sample 996: NULL
[*] Sample 997: NULL
[*] Sample 998: NULL
[*] Sample 999: 4
[*] Sample 1000: 7
[*] Sample 1001: NULL
[*] Sample 1002: NULL
[*] Sample 1003: NULL
[*] Sample 1004: NULL
[*] Sample 1005: 9
[*] Sample 1006: 7
[*] Sample 1007: NULL
[*] Sample 1008: 1
[*] Sample 1009: NULL
[*] Sample 1010: NULL
[*] Sample 1011: 7
[*] Sample 1012: NULL
[*] Sample 1013: 9
[*] Sample 1014: NULL
[*] Sample 1015: NULL
[*] Sample 1016: NULL
[*] Sample 1017: NULL
[*] Sample 1018: 8
[*] Sample 1019: 1
[*] Sample 1020: NULL
[*] Sample 1021: NULL
[*] Sample 1022: 5
[*] Sample 1023: NULL
[*] Sample 1024: 8
[*] Sample 1025: 1
[*] Sample 1026: 8
[*] Sample 1027: NULL
[*] Sample 1028: NULL
[*] Sample 1029: 8
[*] Sample 1030: 1
[*] Sample 1031: 2
[*] Sample 1032: NULL
[*] Sample 1033: NULL
[*] Sample 1034: NULL
[*] Sample 1035: 7
[*] Sample 1036: NULL
[*] Sample 1037: 1
[*] Sample 1038: 1
[*] Sample 1039: 9
[*] Sample 1040: 1
[*] Sample 1041: 5
[*] Sample 1042: 3
[*] Sample 1043: NULL
[*] Sample 1044: 0
[*] Sample 1045: NULL
[*] Sample 1046: NULL
[*] Sample 1047: 0
[*] Sample 1048: NULL
[*] Sample 1049: NULL
[*] Sample 1050: 4
[*] Sample 1051: NULL
[*] Sample 1052: 8
[*] Sample 1053: 2
[*] Sample 1054: NULL
[*] Sample 1055: 7
[*] Sample 1056: NULL
[*] Sample 1057: NULL
[*] Sample 1058: 9
[*] Sample 1059: 4
[*] Sample 1060: 4
[*] Sample 1061: 0
[*] Sample 1062: 9
[*] Sample 1063: 9
[*] Sample 1064: NULL
[*] Sample 1065: NULL
[*] Sample 1066: NULL
[*] Sample 1067: 3
[*] Sample 1068: NULL
[*] Sample 1069: NULL
[*] Sample 1070: NULL
[*] Sample 1071: 7
[*] Sample 1072: NULL
[*] Sample 1073: NULL
[*] Sample 1074: NULL
[*] Sample 1075: NULL
[*] Sample 1076: 2
[*] Sample 1077: NULL
[*] Sample 1078: NULL
[*] Sample 1079: 5
[*] Sample 1080: 4
[*] Sample 1081: NULL
[*] Sample 1082: NULL
[*] Sample 1083: 1
[*] Sample 1084: NULL
[*] Sample 1085: 6
[*] Sample 1086: 9
[*] Sample 1087: 5
[*] Sample 1088: NULL
[*] Sample 1089: NULL
[*] Sample 1090: NULL
[*] Sample 1091: 3
[*] Sample 1092: NULL
[*] Sample 1093: NULL
[*] Sample 1094: 0
[*] Sample 1095: NULL
[*] Sample 1096: 9
[*] Sample 1097: NULL
[*] Sample 1098: 3
[*] Sample 1099: NULL
[*] Sample 1100: 7
[*] Sample 1101: 2
[*] Sample 1102: NULL
